iteration,scaffold_name,candidate_id,passrate,average_score,token_consuming,is_best_passrate
0,memgpt_source,memgpt_source_top12,0.2875,0.3757587387838811,140529,False
1,score_normalized_fusion_clean_index,iter001_score_normalized_fusion_clean_index_top8,0.3625,0.4697958609460671,142128,False
2,session_coherent_chronological_archival,iter002_session_coherent_chronological_archival_top8,0.3125,0.422194102220561,143939,False
3,token_efficient_relevance_ordered_synthesis,iter003_token_efficient_relevance_ordered_synthesis_top8,0.3625,0.5075682881609552,149804,False
4,adaptive_fallback_focused_retry,iter004_adaptive_fallback_focused_retry_top8,0.375,0.525008974291053,152762,False
6,archival_neighbor_expansion,iter006_archival_neighbor_expansion_top8,0.4,0.5566147013730115,151499,False
7,coverage_optimized_retrieval,iter007_coverage_optimized_retrieval_top8,0.4125,0.5507318031112189,157316,False
8,diversity_temporal_retrieval,iter008_diversity_temporal_retrieval_top8,0.4,0.5599574098325006,151606,False
9,entity_fallback_retrieval,iter009_entity_fallback_retrieval_top8,0.4125,0.5592257707551875,154682,False
10,sentence_boost_retrieval,iter010_sentence_boost_retrieval_top8,0.45,0.5704292759821822,156362,False
11,evidence_excerpt_preview,iter011_evidence_excerpt_preview_top8,0.3875,0.5263219893614666,149085,False
13,turn_level_archival_indexing,iter013_turn_level_archival_indexing_top8,0.3625,0.5086015403112776,170906,False
14,mmr_diversity_reranking,iter014_mmr_diversity_reranking_top8,0.45,0.5808892328864708,154618,False
15,inline_evidence_highlighting,iter015_inline_evidence_highlighting_top8,0.3875,0.5399273475318095,150372,False
16,unknown_fallback_retry,iter016_unknown_fallback_retry_top8,0.4125,0.552837523693724,155948,False
17,context_expansion_with_compression,iter017_context_expansion_with_compression_top8,0.475,0.6221530334489178,290429,True
18,temporal_deixis_resolution,iter018_temporal_deixis_resolution_top8,0.4625,0.614171950128219,293666,False
20,question_type_prompt_refinement,iter020_question_type_prompt_refinement_top8,0.4375,0.5880713500642173,298138,False
21,evidence_grounded_extraction,iter021_evidence_grounded_extraction_top8,0.45,0.602320001300924,305546,False
22,query_focused_compression_top8,iter022_query_focused_compression_top8_top8,0.0625,0.09298881673881673,34315,False
23,content_word_fallback,iter023_content_word_fallback_top8,0.4625,0.620882897524911,288217,False
24,query_focused_compression_v2,iter024_query_focused_compression_v2_top8,0.425,0.5771960185358833,303543,False
25,conditional_gap_fallback,iter025_conditional_gap_fallback_top8,0.45,0.5914410330704626,295476,False
26,answer_type_signal_boost,iter026_answer_type_signal_boost_top8,0.4625,0.5909140811739138,296652,False
28,date_aware_indexing_top8,iter028_date_aware_indexing_top8_top8,0.4125,0.5841203866932139,292685,False
29,precision_first_prompt_with_proven_stack,iter029_precision_first_prompt_with_proven_stack_top8,0.375,0.5388753928604935,294246,False
30,tightened_coverage_heuristic_on_proven_stack,iter030_tightened_coverage_heuristic_on_proven_stack_top8,0.425,0.5856268935185206,293133,False
